object_id,Time (MJD),Flux,Flux_err,Filter,Flux_dered,A_lambda,Flux_err_dered,Magnitude,Magnitude_err,SNR,Abs_Magnitude,Abs_Magnitude_k,Time_rest
ank_fast_luithien,63089.806,1.98258021,0.34484691,i,2.145685633409064,0.08583831650331582,0.3732172129936213,23.07115038887452,0.1888512623083069,5.749160431798563,-18.613628976507634,-18.256326332718597,45398.147801683815
ank_fast_luithien,63097.3011,2.66446594,0.62634896,z,2.8340683960625626,0.06700038522604043,0.6662182337533105,22.769039804544807,0.25522928721866167,4.253964020312256,-18.91573956083735,-18.55843691704831,45403.541123983596
ank_fast_luithien,63089.806,0.98471897,0.28560176,r,1.096399107736534,0.11664092254864213,0.3179927719194683,23.80014393869908,0.3149001699181667,3.447874305816603,-17.884635426683076,-17.52733278289404,45398.147801683815
ank_fast_luithien,63072.3173,1.77861579,0.20170655,r,1.9803343132123377,0.11664092254864213,0.22458273698597947,23.158219340912005,0.12312951751758366,8.817838538213062,-18.52656002447015,-18.169257380681113,45385.56328704037
ank_fast_luithien,63074.8157,5.18000918,0.7038614,z,5.5097346481193705,0.06700038522604043,0.7486646081684758,22.047238913552274,0.147530202854147,7.359416470344872,-19.63754045182988,-19.280237808040845,45387.361085126286
ank_fast_luithien,63022.3497,3.6426075,1.06896189,i,3.942282154071389,0.08583831650331582,1.1569046026313357,22.410696362142687,0.31862083012777986,3.407612127313538,-19.27408300323947,-18.91678035945043,45349.60761315392
ank_fast_luithien,63022.3497,3.90292562,1.01336114,z,4.151360310436125,0.06700038522604043,1.0778650751572114,22.35458955007224,0.2819020871304669,3.8514656482682965,-19.330189815309915,-18.972887171520878,45349.60761315392
ank_fast_luithien,63042.3368,10.49932828,0.29254918,i,11.363100336223724,0.08583831650331582,0.31661698700785595,21.261323518490038,0.030252529297836454,35.88910514122788,-20.423455846892118,-20.06615320310308,45363.98992588328
ank_fast_luithien,63042.3368,9.82297732,0.49694797,z,10.448243739926106,0.06700038522604043,0.5285804239871223,21.35245738376259,0.05492778669166842,19.76661122088898,-20.332321981619565,-19.975019337830528,45363.98992588328
ank_fast_luithien,63047.3335,8.39308211,0.50354912,z,8.927330763143134,0.06700038522604043,0.5356017599748769,21.52326155740238,0.06513954031340888,16.667851807585325,-20.161517807979777,-19.80421516419074,45367.58545009715
ank_fast_luithien,63057.327,4.70702481,0.29176474,r,5.240863595608125,0.11664092254864213,0.3248547152544262,22.101558481204343,0.06729931416907964,16.132946050986146,-19.583220884177813,-19.225918240388776,45374.77657048284
ank_fast_luithien,63057.327,6.46971789,0.53503417,i,7.001976847525682,0.08583831650331582,0.5790510397316752,21.78701394625842,0.08978845430796918,12.092158319533125,-19.897765419123736,-19.5404627753347,45374.77657048284
ank_fast_luithien,63069.8189,1.75077092,0.22798934,r,1.9493314671688216,0.11664092254864213,0.2538463425249554,23.175351388620356,0.14138701866084846,7.67917885985371,-18.5094279767618,-18.152125332972762,45383.76548895445
ank_fast_luithien,63069.8189,3.8938307,0.46573917,i,4.214173302938981,0.08583831650331582,0.504055190778315,22.33828464355475,0.12986437208043,8.360539440992262,-19.346494721827405,-18.989192078038368,45383.76548895445
ank_fast_luithien,63047.3335,9.19865223,0.42286686,i,9.955418619172663,0.08583831650331582,0.4576558072002555,21.40491680588037,0.0499118618917923,21.75306958317802,-20.279862559501787,-19.92255991571275,45367.58545009715
ank_fast_luithien,63064.8222,0.89452446,0.17139203,g,1.0458975536180672,0.16974231674648516,0.20039530823632748,23.85134275435108,0.20802844472021645,5.219171859975052,-17.833436611031075,-17.47613396724204,45380.1699647406
