object_id,Time (MJD),Flux,Flux_err,Filter,Flux_dered,A_lambda,Flux_err_dered,Magnitude,Magnitude_err,SNR,Abs_Magnitude,Abs_Magnitude_k,Time_rest
dannas_amath_alagos,63829.8323,0.93312897,0.1975537,r,0.995257580652588,0.06998455352918528,0.2107070124625615,23.90522688680253,0.22986233561468578,4.723419353826327,-20.79341891118387,-19.926070254436393,28713.37485380117
dannas_amath_alagos,63512.2027,1.07763,0.18684041,i,1.1299802922521414,0.0515029899019895,0.19591694839259294,23.767388449504615,0.18824587070594997,5.7676495143636215,-20.931257348481786,-20.06390869173431,28570.491542959968
dannas_amath_alagos,63544.948,0.61976119,0.17044609,r,0.661025477048225,0.06998455352918528,0.1817945521132982,24.349520126638353,0.298598063025635,3.6361126852484555,-20.349125671348048,-19.48177701460057,28585.221772379668
dannas_amath_alagos,63456.5356,1.55740158,0.34695539,z,1.6161464158314551,0.040200231135624265,0.36004246894491054,23.37886386375512,0.24187854513347584,4.488766062980028,-21.31978193423128,-20.452433277483802,28545.450112460643
dannas_amath_alagos,63512.2027,1.31817698,0.38630807,z,1.3678983179524782,0.040200231135624265,0.40087952314602565,23.55993108348831,0.3181884254944566,3.4122429282929554,-21.138714714498093,-20.271366057750615,28570.491542959968
dannas_amath_alagos,63571.1443,1.13430875,0.18600245,r,1.2098321009560569,0.06998455352918528,0.19838666929658608,23.69325286320139,0.17803758821283336,6.0983538120062395,-21.00539293478501,-20.138044278037533,28597.005982905983
dannas_amath_alagos,63587.5169,1.25783845,0.39837854,z,1.305283832229381,0.040200231135624265,0.4134052885481007,23.61080322553338,0.34387087155483653,3.1573950996456785,-21.08784257245302,-20.220493915705543,28604.37107512371
dannas_amath_alagos,63803.6361,1.18918112,0.13922763,r,1.268357925324015,0.06998455352918528,0.14849753747736893,23.641961054943724,0.12711644681482082,8.541272447142855,-21.056684743042677,-20.1893360862952,28701.59068825911
dannas_amath_alagos,63456.5356,0.85569774,0.19137948,i,0.897266763476051,0.0515029899019895,0.20067652231421065,24.0177616699623,0.24282830323214868,4.471209452549458,-20.6808841280241,-19.813535471276623,28545.450112460643
dannas_amath_alagos,63833.1069,0.93234757,0.16193505,r,0.9944241543004709,0.06998455352918528,0.17271683900871265,23.90613646063187,0.18857639818197616,5.757540260740341,-20.79250933735453,-19.925160680607053,28714.84790823212
dannas_amath_alagos,64167.1092,0.75936176,0.13672242,r,0.8099207852240309,0.06998455352918528,0.14582552822271397,24.128959260957256,0.1954858530091731,5.554039783672641,-20.569686537029146,-19.702337880281668,28865.096356275306
dannas_amath_alagos,64193.3054,0.57051014,0.12942229,g,0.6266160632688437,0.10184539004789112,0.14215012174724648,24.40756181277246,0.2463031874520337,4.408128924314351,-20.29108398521394,-19.423735328466464,28876.880521817366
dannas_amath_alagos,63869.1267,0.64789593,0.10530603,g,0.7116122371891695,0.10184539004789112,0.11566218605171637,24.269457102806633,0.17647057815341688,6.152505511792629,-20.429188695179768,-19.56184003843229,28731.05114709852
dannas_amath_alagos,63872.4013,0.70078813,0.11677838,g,0.7697060374880184,0.10184539004789112,0.1282627662858246,24.18425338945685,0.1809256031477055,6.001009176527367,-20.514392408529552,-19.647043751782075,28732.524201529464
dannas_amath_alagos,63872.4013,0.82793492,0.19187179,r,0.8830596111671402,0.06998455352918528,0.20464679551303763,24.03509056796143,0.2516165752191595,4.3150424562151635,-20.663555230024972,-19.796206573277495,28732.524201529464
dannas_amath_alagos,63875.6758,0.80192555,0.26609274,i,0.8408823690445322,0.0515029899019895,0.2790192850156112,24.088227505700456,0.3602660142718881,3.013706988022296,-20.610418292285946,-19.74306963553847,28733.99721097616
dannas_amath_alagos,63875.6758,2.00000386,0.49198867,z,2.0754435538636575,0.040200231135624265,0.5105463715082301,23.1072883065178,0.2670844402019303,4.065142109878262,-21.591357491468603,-20.724008834721126,28733.99721097616
dannas_amath_alagos,63882.2248,1.27662096,0.28014748,i,1.3386380533912468,0.0515029899019895,0.2937567915927553,23.583407706010703,0.23825886558196094,4.556960355309997,-21.115238091975698,-20.24788943522822,28736.94322986955
dannas_amath_alagos,63882.2248,1.78668577,0.36314956,z,1.8540791536904462,0.040200231135624265,0.3768474793795765,23.22974494490614,0.2206793335763706,4.919972283595773,-21.46890085308026,-20.601552196332783,28736.94322986955
dannas_amath_alagos,63914.9702,1.09772835,0.11367789,r,1.170816143276269,0.06998455352918528,0.1212466715882704,23.728843867585162,0.11243601466019541,9.656480692947413,-20.96980193040124,-20.10245327365376,28751.67350427351
dannas_amath_alagos,63914.9702,1.49336249,0.22094414,i,1.5659086911913973,0.0515029899019895,0.2316774067988067,23.413149535876286,0.16063551457432737,6.759004742103592,-21.285496262110115,-20.418147605362638,28751.67350427351
dannas_amath_alagos,63918.2447,1.16941159,0.13828862,r,1.2472721212915467,0.06998455352918528,0.14749600730216864,23.66016258425056,0.12839359787774907,8.456311083298104,-21.03848321373584,-20.171134556988363,28753.1465137202
dannas_amath_alagos,63921.5192,0.76842759,0.11614799,r,0.8195902267722959,0.06998455352918528,0.12388123318587033,24.11607369477537,0.1641092530955131,6.615935325269081,-20.58257210321103,-19.715223446463554,28754.619523166893
dannas_amath_alagos,63921.5192,1.18911895,0.17644624,i,1.2468852747636567,0.0515029899019895,0.18501783900039112,23.660499381988384,0.1611058935369267,6.7392705562895525,-21.038146415998018,-20.17079775925054,28754.619523166893
dannas_amath_alagos,63924.7938,0.90158625,0.27151965,i,0.9453844958524839,0.0515029899019895,0.28470982940266987,23.96104443311104,0.3269778285862896,3.320519343627616,-20.73760136487536,-19.870252708127882,28756.092577597843
dannas_amath_alagos,61377.2074,0.6919414,0.14608851,i,0.7255552883581153,0.0515029899019895,0.1531853578913726,24.248389342532658,0.22922979374578545,4.736453263846691,-20.450256455453744,-19.582907798706266,27610.07980206928
