object_id,Time (MJD),Flux,Flux_err,Filter,Flux_dered,A_lambda,Flux_err_dered,Magnitude,Magnitude_err,SNR,Abs_Magnitude,Abs_Magnitude_k,Time_rest
fern_lass_eglan,61713.4466,3.88466927,0.07635257,g,5.147170069136621,0.3055361701436733,0.10116682674652988,22.121144326939813,0.021339976150744337,50.8780420881707,-19.126728330115576,-18.818733142535578,46470.96882530121
fern_lass_eglan,61720.2241,0.84329191,0.24408928,z,0.9423629680924559,0.12060069340687277,0.2727652141004774,23.964520093862212,0.3142643316587068,3.4548502498757836,-17.283352563193176,-16.97535737561318,46476.07236445783
fern_lass_eglan,61724.7424,1.25037671,0.26896043,i,1.4415989709741661,0.15450896970596847,0.31009301118602023,23.502954463202393,0.23354567800476264,4.648924416130656,-17.744918193852996,-17.436923006273,46479.47469879518
fern_lass_eglan,61740.5566,1.42771108,0.08223717,g,1.8917110383378195,0.3055361701436733,0.10896389642830523,23.20792862726527,0.06253917483490365,17.36089751142944,-18.039944029790117,-17.73194884221012,46491.38298192771
fern_lass_eglan,61740.5566,0.97986893,0.04969044,r,1.1889112905528954,0.20995366058755582,0.06029125257450628,23.712191993852876,0.05505910850583,19.719465756390967,-17.535680663202513,-17.227685475622515,46491.38298192771
fern_lass_eglan,61740.5566,0.68323853,0.1058827,i,0.7877273735991948,0.15450896970596847,0.12207552343482655,24.159125778519694,0.16825848631157198,6.45278718808644,-17.088746878535694,-16.780751690955697,46491.38298192771
fern_lass_eglan,61742.8158,0.7920735,0.05977895,r,0.961052134899051,0.20995366058755582,0.07253201567723655,23.94319825278614,0.08194210549579803,13.250040357015303,-17.30467440426925,-16.99667921668925,46493.084186746986
fern_lass_eglan,61742.8158,0.62710378,0.09461072,i,0.723007839726965,0.15450896970596847,0.10907970014502666,24.252208106114708,0.1638042814256901,6.6282529083385056,-16.99566455094068,-16.687669363360683,46493.084186746986
fern_lass_eglan,62077.1724,1.14115675,0.25850311,i,1.3156758146272762,0.15450896970596847,0.2980364352512785,23.602193393887504,0.2459488458264592,4.4144797716360165,-17.645679263167885,-17.337684075587887,46744.85873493976
fern_lass_eglan,62126.8741,2.23059576,0.12310628,r,2.7064645102314002,0.20995366058755582,0.1493694123253465,22.819059780839712,0.05992163511917176,18.119268651444912,-18.428812876215677,-18.12081768863568,46782.28471385542
fern_lass_eglan,62126.8741,1.4813912,0.16558184,i,1.707942904286969,0.15450896970596847,0.19090455560069494,23.318882251434264,0.12135767955045758,8.946580132217397,-17.928990405621125,-17.620995218041127,46782.28471385542
fern_lass_eglan,62077.1724,1.50562011,0.23547581,r,1.826824683646712,0.20995366058755582,0.28571152792964705,23.245823444620846,0.16980685271382723,6.393948108725053,-18.002049212434542,-17.694054024854545,46744.85873493976
fern_lass_eglan,62172.0574,5.87401322,0.13526953,g,7.783042243824486,0.3055361701436733,0.17923154525898113,21.67219215312096,0.025002842285332127,43.424511196276065,-19.57568050393443,-19.26768531635443,46816.30828313252
fern_lass_eglan,62210.4632,4.26346718,0.31180218,i,4.915486549225737,0.15450896970596847,0.359486623703589,22.171149342199715,0.07940366402644879,13.673628516644756,-19.076723314855673,-18.768728127275676,46845.22831325301
fern_lass_eglan,62219.4999,4.56308705,0.29472506,i,5.260927801306811,0.15450896970596847,0.3397978703684423,22.097409767860235,0.07012657540502365,15.48252140486459,-19.150462889195154,-18.842467701615156,46852.03305722892
fern_lass_eglan,62167.5391,2.89585295,0.71989758,y,3.1569161383617113,0.09371635110602712,0.784796855195821,22.65190800911844,0.26990972256507767,4.0225901995669995,-18.59596464793695,-18.28796946035695,46812.90594879518
fern_lass_eglan,62219.4999,3.51413602,0.42506018,z,3.9269814056295282,0.12060069340687277,0.47499681675199934,22.414918510086327,0.1313276503813325,8.267384679505852,-18.832954146969062,-18.524958959389064,46852.03305722892
fern_lass_eglan,62233.0549,6.4625129,0.113833,r,7.841206427632861,0.20995366058755582,0.13811779799723595,21.664108404169575,0.019124543549651117,56.771875466692435,-19.583764252885814,-19.275769065305816,46862.24013554217
fern_lass_eglan,62237.5732,15.27988983,0.2286977,u,21.775478858065405,0.3846187282354051,0.3259187066558964,20.555146336719172,0.016250468792477758,66.81260821599868,-20.692726320336217,-20.38473113275622,46865.642469879516
fern_lass_eglan,62237.5732,9.75870254,0.07715647,g,12.930238879124843,0.3055361701436733,0.1022319907877866,21.121049251510588,0.008584294127929682,126.47938066632649,-20.1268234055448,-19.818828217964803,46865.642469879516
