object_id,Time (MJD),Flux,Flux_err,Filter,Flux_dered,A_lambda,Flux_err_dered,Magnitude,Magnitude_err,SNR,Abs_Magnitude,Abs_Magnitude_k,Time_rest
firen_corch_laer,63353.3693,2.46119384,0.60020084,i,2.635743247035968,0.07439320763620706,0.6427674591024148,22.847807866037947,0.2647738554856131,4.100617120096,-18.846123638082112,-18.487727761543447,45541.92315433829
firen_corch_laer,63353.3693,1.6184405,0.18993379,g,1.8532787277452307,0.14711000784695383,0.21749347763296198,23.230213770128444,0.1274177161965037,8.521077265925141,-18.463717733991615,-18.10532185745295,45541.92315433829
firen_corch_laer,63353.3693,3.11651244,0.84791145,z,3.2877263697157315,0.058067000529235045,0.8944937288133854,22.60782645980475,0.29539691479426994,3.67551639973726,-19.08610504431531,-18.727709167776645,45541.92315433829
firen_corch_laer,63358.2281,2.23438486,0.14968307,r,2.45241237976854,0.10108879954215652,0.16428889242910505,22.926081872838097,0.07273425954844027,14.927438754429609,-18.767849631281962,-18.409453754743296,45545.41592983969
firen_corch_laer,63372.8044,1.88670834,0.51571978,z,1.9903596987986334,0.058067000529235045,0.5440522227114857,23.15273669873673,0.2967791177813405,3.6583982487543913,-18.541194805383327,-18.18279892884466,45555.894184458346
firen_corch_laer,63603.5961,0.81961789,0.25827995,i,0.8777457035717953,0.07439320763620706,0.2765973256528577,24.041643841434993,0.34213978989419014,3.173370174494768,-17.652287662685065,-17.2938917861464,45721.80008626267
firen_corch_laer,63346.0812,4.07939932,0.93506229,z,4.3035120106770455,0.058067000529235045,0.9864324328382204,22.315508073841276,0.24886776270704608,4.36270328044135,-19.378423430278783,-19.020027553740118,45536.68406297175
firen_corch_laer,63989.8685,0.24160815,0.08044591,g,0.2766658674476318,0.14711000784695383,0.09211873636201474,25.295176664559136,0.3615069980533109,3.0033615133448057,-16.398754839560922,-16.040358963022257,45999.47415714183
firen_corch_laer,63333.9342,3.27454748,0.22782705,r,3.59407232024114,0.10108879954215652,0.2500580306770187,22.511098592850086,0.07554023208368339,14.37295299219298,-19.182832911269973,-18.824437034731307,45527.952124218245
firen_corch_laer,63336.3636,3.26994509,0.22118388,i,3.5018516416999974,0.07439320763620706,0.23687037915843875,22.53932126488386,0.07344078870293125,14.78383094645053,-19.1546102392362,-18.796214362697533,45529.69851196894
firen_corch_laer,63299.9228,2.21517762,0.42328817,z,2.3368743154698057,0.058067000529235045,0.44654263549088075,22.97847723407632,0.20746837051144182,5.233261350063244,-18.71545427004374,-18.357058393505074,45503.50283947955
firen_corch_laer,63309.6404,2.78003263,0.34996086,z,2.932761143196713,0.058067000529235045,0.3691868939853791,22.73187388830153,0.13667651661710567,7.94383871956424,-18.96205761581853,-18.603661739279865,45510.48839048235
firen_corch_laer,63319.3579,2.54059066,0.51863802,i,2.720770939186835,0.07439320763620706,0.5554201528763396,22.8133356717603,0.2216429763140477,4.898581596466838,-18.88059583235976,-18.522199955821094,45517.4738695996
firen_corch_laer,63319.3579,3.56948699,0.78255763,z,3.765586285732982,0.058067000529235045,0.82554952226446,22.46048411328044,0.23803172657052224,4.561308781820963,-19.23344739083962,-18.875051514300953,45517.4738695996
firen_corch_laer,63321.7873,3.23011341,0.29824566,i,3.45919507403278,0.07439320763620706,0.3193974288115337,22.552627987709496,0.10024914604282685,10.830378587906358,-19.141303516410563,-18.782907639871897,45519.2202573503
firen_corch_laer,63321.7873,3.3507182,0.41001128,z,3.53479884830058,0.058067000529235045,0.432536344099079,22.529153860230466,0.13285632049129728,8.172258577861566,-19.164777643889593,-18.806381767350928,45519.2202573503
firen_corch_laer,63324.2167,2.84681782,0.15382099,g,3.2598955028449,0.14711000784695383,0.1761406543198294,22.61705642522987,0.05866515824140027,18.50734298355511,-19.07687507889019,-18.718479202351524,45520.966645101
firen_corch_laer,63324.2167,3.15461095,0.24208369,r,3.462432585196354,0.10108879954215652,0.2657058096500213,22.551612306568295,0.08331899907164257,13.031075947330446,-19.142319197551764,-18.7839233210131,45520.966645101
firen_corch_laer,63331.5049,1.7517859,0.3494629,u,2.077570377767213,0.18518679507630617,0.4144534838239227,23.10617626116803,0.21659297677288628,5.012795063510318,-18.587755242952028,-18.229359366413362,45526.2058083531
firen_corch_laer,63331.5049,3.22304828,0.20131487,r,3.537547914849235,0.10108879954215652,0.22095883670617705,22.528309794934618,0.06781618639456936,16.009986147570718,-19.16562170918544,-18.807225832646775,45526.2058083531
firen_corch_laer,63333.9342,2.46093004,0.18501785,g,2.8180148072179483,0.14711000784695383,0.2118642271113198,22.77520744534875,0.08162791099559616,13.301041169811452,-18.918724058771307,-18.56032818223264,45527.952124218245
firen_corch_laer,63307.211,2.22494222,0.29043366,i,2.382736514329247,0.07439320763620706,0.3110313968837742,22.957375571703075,0.14172697920326796,7.660758811495886,-18.736555932416984,-18.37816005587832,45508.742002731655
