object_id,Time (MJD),Flux,Flux_err,Filter,Flux_dered,A_lambda,Flux_err_dered,Magnitude,Magnitude_err,SNR,Abs_Magnitude,Abs_Magnitude_k,Time_rest
gwaloth_luith_cund,63591.5935,1.54927804,0.21775409,r,1.8310741818068457,0.18144143507566557,0.2573610945791527,23.24330077450346,0.1526023690667946,7.114805696646156,-19.255597249483692,-18.790892303458744,41449.35047581802
gwaloth_luith_cund,63591.5935,2.41879542,0.30224098,i,2.7353294770616436,0.13352627011626908,0.3417935452226045,22.80754150817564,0.13566834624962937,8.002870490957248,-19.691356515811513,-19.226651569786565,41449.35047581802
gwaloth_luith_cund,63607.7003,3.98710482,0.42539049,z,4.388810021030087,0.10422282146272958,0.46824905028779734,22.294198667551903,0.11583890492068903,9.372811366798539,-20.20469935643525,-19.7399944104103,41459.84897666536
gwaloth_luith_cund,63605.0158,3.27933343,0.12620334,r,3.8758070676642955,0.18144143507566557,0.14915829926292065,22.429160246442613,0.04178395955284114,25.984521725019324,-20.06973777754454,-19.60503283151959,41458.09920479729
gwaloth_luith_cund,63618.4381,8.45790697,1.3539532,y,9.112943541528217,0.08098943922743088,1.4588123413080605,21.500918923164583,0.17380612177484434,6.246823723301514,-20.99797910082257,-20.53327415479762,41466.84793377656
gwaloth_luith_cund,63621.1226,11.9790744,0.27438921,i,13.546708019744193,0.13352627011626908,0.3102969718293321,21.070481196536544,0.024869559161597773,43.65723564713059,-21.428416827450608,-20.96371188142566,41468.597705644635
gwaloth_luith_cund,63623.8071,3.3099792,0.33270952,u,4.495519509814208,0.332386555265165,0.45187659736983254,22.268115905352396,0.10913505786734218,9.94855572512623,-20.230782118634757,-19.76607717260981,41470.34747751271
gwaloth_luith_cund,63623.8071,10.88573984,0.18832035,r,12.86573271953831,0.18144143507566557,0.22257369038408936,21.126479310123333,0.01878294218794435,57.80437345193973,-21.37241871386382,-20.90771376783887,41470.34747751271
gwaloth_luith_cund,63631.8604,9.73601763,0.3575442,i,11.010115114460916,0.13352627011626908,0.4043339843980785,21.295585973055893,0.03987243013458693,27.2302490992722,-21.20331205093126,-20.73860710490631,41475.59666275583
gwaloth_luith_cund,63631.8604,10.00912941,0.59478009,z,11.017560219647038,0.10422282146272958,0.6547048390117762,21.29485203990734,0.06451852615044754,16.82828591320197,-21.204045984079812,-20.739341038054864,41475.59666275583
gwaloth_luith_cund,63634.5449,8.19177635,0.92493202,y,8.826201996210429,0.08098943922743088,0.9965649075957675,21.535630966091738,0.12259028300425587,8.856625322583167,-20.963267057895415,-20.498562111870466,41477.346434623905
gwaloth_luith_cund,63637.2294,6.17637858,0.08515158,r,7.299791943673859,0.18144143507566557,0.10063968871466104,21.741789416844803,0.01496866684916815,72.5339280844818,-20.75710860714235,-20.2924036611174,41479.09620649198
gwaloth_luith_cund,63637.2294,6.91621847,0.14671879,i,7.821304809147183,0.13352627011626908,0.1659190470626148,21.666867593807247,0.023032514503739356,47.139282364583295,-20.832030430179906,-20.367325484154957,41479.09620649198
gwaloth_luith_cund,63642.5983,6.25198562,1.51942542,y,6.736180970019146,0.08098943922743088,1.6370998306242661,21.829031256952533,0.2638673997660005,4.114703846405308,-20.66986676703462,-20.20516182100967,41482.59568504758
gwaloth_luith_cund,63647.9672,3.55823145,0.14989413,r,4.2054334811252705,0.18144143507566557,0.17715817584776386,22.340538702352948,0.04573774531213299,23.738297490368705,-20.158359321634205,-19.693654375609256,41486.09516360318
gwaloth_luith_cund,63682.8652,1.35460969,0.29645596,i,1.5318797879029948,0.13352627011626908,0.3352514724203536,23.437003907309023,0.23761307132560658,4.569345443417633,-19.06189411667813,-18.59718917065318,41508.8418719854
gwaloth_luith_cund,63682.8652,1.72029991,0.50257634,z,1.8936220202470517,0.10422282146272958,0.5532114596687789,23.206832384271777,0.31719197613213335,3.4229623901515147,-19.292065639715375,-18.827360693690427,41508.8418719854
gwaloth_luith_cund,63647.9672,2.2408292,0.11769093,g,2.8577629183315563,0.26404360382786585,0.15009299931380532,22.760000130713777,0.05702411574815907,19.03994810815073,-19.738897893273375,-19.274192947248427,41486.09516360318
