object_id,Time (MJD),Flux,Flux_err,Filter,Flux_dered,A_lambda,Flux_err_dered,Magnitude,Magnitude_err,SNR,Abs_Magnitude,Abs_Magnitude_k,Time_rest
helegnen_rovalug_anwar,63169.5784,3.82900511,0.29116071,r,4.253099144819197,0.1140489020475612,0.32340917056283325,22.32830185539488,0.0825602774528766,13.150830378178432,-19.502503972894917,-19.127455968107046,44718.65949313323
helegnen_rovalug_anwar,63169.5784,3.97415348,0.32111922,i,4.293554250208562,0.0839307983587977,0.34692741455336495,22.3180232355408,0.0877295668001455,12.375943987407545,-19.512782592748998,-19.137734587961127,44718.65949313323
helegnen_rovalug_anwar,63178.3806,2.98660957,0.37804948,z,3.1723642529356333,0.06551148777657287,0.4015625839546562,22.646608003570506,0.13743410312114696,7.900049406231163,-19.18419782471929,-18.80914981993142,44724.89069800368
helegnen_rovalug_anwar,63187.1827,1.28618155,0.28341921,i,1.3895513317070822,0.0839307983587977,0.30619747320031854,23.54287913534913,0.23924965913322832,4.5380888260891,-18.28792669294067,-17.912878688152798,44731.12183208268
helegnen_rovalug_anwar,63191.5838,2.91470702,0.68746229,z,3.095989663633384,0.06551148777657287,0.7302195827482297,22.673066867121435,0.2560815521207797,4.239806404508384,-19.157738961168363,-18.782690956380492,44734.237434517905
helegnen_rovalug_anwar,63151.9741,5.46249182,0.19630049,i,5.90150961419097,0.0839307983587977,0.21207706431044107,21.97265782484979,0.03901709257017452,27.82719401260792,-19.858148003440007,-19.483099998652136,44706.19715418377
helegnen_rovalug_anwar,63151.9741,6.05312503,0.16171557,r,6.723558770224957,0.1140489020475612,0.1796269090042946,21.83106760885562,0.02900657897398455,37.43068790469588,-19.999738219434178,-19.624690214646307,44706.19715418377
helegnen_rovalug_anwar,63145.3725,4.88791348,0.14849832,r,5.429290388630018,0.1140489020475612,0.16494573907713783,22.06320794538243,0.032985445227184794,32.91561466823328,-19.767597882907367,-19.392549878119496,44701.523785926656
helegnen_rovalug_anwar,63149.7736,4.78602201,0.42976816,z,5.083692656314346,0.06551148777657287,0.45649795056202197,22.13461740570745,0.09749534164057982,11.136288016310933,-19.69618842258235,-19.321140417794478,44704.63938836188
helegnen_rovalug_anwar,63145.3725,3.22347378,0.0984419,g,3.755884669447892,0.16597026526322994,0.11470123484029779,22.463285002082575,0.03315737685174511,32.74493665806938,-19.367520826207222,-18.99247282141935,44701.523785926656
helegnen_rovalug_anwar,63140.9714,3.11956954,0.36211739,i,3.3702878171902326,0.0839307983587977,0.39122058741146837,22.580898146008877,0.12603147827104358,8.6148017912092,-19.24990768228092,-18.87485967749305,44698.40818349143
helegnen_rovalug_anwar,63136.5704,1.90141039,0.56907144,i,2.0542258124805026,0.0839307983587977,0.6148074331251813,23.11844516711367,0.3249490319140644,3.3412507751223637,-18.712360661176128,-18.337312656388256,44695.29265184765
helegnen_rovalug_anwar,63136.5704,3.06086783,0.57167439,r,3.399884297928657,0.1140489020475612,0.6349920643548151,22.571405277931103,0.2027815694858078,5.354215412728213,-19.259400550358695,-18.884352545570824,44695.29265184765
