object_id,Time (MJD),Flux,Flux_err,Filter,Flux_dered,A_lambda,Flux_err_dered,Magnitude,Magnitude_err,SNR,Abs_Magnitude,Abs_Magnitude_k,Time_rest
in_suil_firen,63117.4835,0.74810117,0.16921909,g,0.9408978867707826,0.24895539789484494,0.212829347910624,23.966209389480127,0.24559150542328964,4.420902925314159,-17.85900054148881,-17.4846445047053,44710.26669972374
in_suil_firen,63144.6076,0.89503398,0.11934248,g,1.1256974512819475,0.24895539789484494,0.1500987991156121,23.771511415297716,0.14477042681845773,7.49970991050295,-18.053698515671222,-17.679342478887712,44729.48048452221
in_suil_firen,63144.6076,0.6613405,0.17043465,r,0.7742023061162449,0.1710733530713418,0.19952036669781306,24.17792947073787,0.2798060455246278,3.8803171772876,-17.64728046023107,-17.27292442344756,44729.48048452221
in_suil_firen,63152.0051,0.92138474,0.12045571,r,1.078624688081732,0.1710733530713418,0.1410122145352804,23.817889731263918,0.14194192690541613,7.649157852292765,-18.00732019970502,-17.63296416292151,44734.720620528446
in_suil_firen,63063.2354,0.66535128,0.20289763,u,0.887990279693995,0.31339303782144123,0.27079097708048105,24.029045092684733,0.3310932275513458,3.279246189322172,-17.796164838284206,-17.421808801500696,44671.839200963375
in_suil_firen,63159.4025,1.64042585,0.28549993,u,2.18934306304898,0.31339303782144123,0.3810335537241561,23.049281073644096,0.1889616714202057,5.745801233646536,-18.775928857324843,-18.401572820541332,44739.96068569809
in_suil_firen,63087.8937,0.39360494,0.10343684,g,0.4950427443771284,0.24895539789484494,0.13009404085044748,24.663458873202558,0.2853244730459274,3.8052684130721706,-17.16175105776638,-16.78739502098287,44689.306297371964
in_suil_firen,63090.3595,0.342303,0.11105438,r,0.4007191030800457,0.1710733530713418,0.13000649000070277,24.892965505753164,0.35224862494038056,3.0823007611226143,-16.932244425215774,-16.557888388432264,44691.052985761846
in_suil_firen,63092.8253,0.70759792,0.14956146,g,0.8899563512397679,0.24895539789484494,0.18810565642659394,24.026643855334477,0.22948667225941646,4.731151461078275,-17.79856607563446,-17.42421003885095,44692.799674151735
in_suil_firen,63095.2911,0.60269554,0.12119624,g,0.7580190790935077,0.24895539789484494,0.1524303004372585,24.200865280231277,0.21833104264975212,4.97288975301544,-17.62434465073766,-17.24998861395415,44694.546362541616
in_suil_firen,63159.4025,0.79791896,0.13038866,r,0.9340887166684569,0.1710733530713418,0.15264028327829152,23.97409530716251,0.17742113666768627,6.119542604395199,-17.851114623806428,-17.476758587022918,44739.96068569809
in_suil_firen,63512.0152,1.23284131,0.37958548,u,1.6453731022884803,0.31339303782144123,0.506601890888343,23.35940463876765,0.3342925769063439,3.247862141618273,-18.46580529220129,-18.09144925541778,44989.73946305873
in_suil_firen,63529.276,1.13331883,0.32783854,i,1.2726546938113352,0.12589619753819656,0.3681446435891788,23.638289163256534,0.31407417116068403,3.4569420361620695,-18.186920767712405,-17.812564730928894,45001.966423461075
in_suil_firen,63812.8456,1.43053523,0.24465362,g,1.7992052797593614,0.24895539789484494,0.30770447003688295,23.262363830120872,0.18568525072894398,5.847186033871071,-18.562846100848066,-18.188490064064556,45202.83743004888
in_suil_firen,63812.8456,0.91687038,0.29053958,r,1.0733399249035522,0.1710733530713418,0.3401219384780536,23.82322241212337,0.3440500945414126,3.155750345615561,-18.001987518845567,-17.627631482062057,45202.83743004888
in_suil_firen,63442.9722,0.84984497,0.14646665,r,0.9948762182495869,0.1710733530713418,0.17146208072713057,23.905642998496496,0.187121357786747,5.8023104235674134,-17.919566932472442,-17.545210895688932,44940.83176312248
